ML_Model,Symbol,FeatureSet,Horizon_Days,Validation_RMSE,Test_RMSE
SVR,IRM,Basic,3,9.223245369783426,15.025107931194045
SVR,IRM,Basic,5,9.613021315962449,15.276049508231356
SVR,IRM,Advanced,1,2.4150590001195296,3.2989303009065454
SVR,IRM,Advanced,3,4.616778844353146,6.960779009735718
SVR,IRM,Advanced,5,6.553124261992462,8.886972469539385
SVR,JPM,Basic,1,12.677872681900588,13.73335089766888
SVR,JPM,Basic,3,28.28015539883195,46.08760928134242
SVR,JPM,Basic,5,28.92295840488373,33.15073945222036
SVR,JPM,Advanced,1,6.464922958401366,6.704500226778871
SVR,JPM,Advanced,3,13.563273310340996,11.837609038319066
SVR,JPM,Advanced,5,16.95288103040708,13.90487078985433
SVR,KIM,Basic,1,0.7323817879311945,1.3616912702665822
SVR,KIM,Basic,3,1.661770533038455,2.6203027905121297
SVR,KIM,Basic,5,2.5060760911455287,3.439251106234985
SVR,KIM,Advanced,1,0.43227085228948764,0.46381052581281873
SVR,KIM,Advanced,3,0.8320056473227192,0.9415508560960989
SVR,KIM,Advanced,5,1.0826624161993499,1.1425931210611138
SVR,KO,Basic,1,4.372458642032436,2.720179706107475
SVR,KO,Basic,3,11.057977074048134,3.6301579766252834
SVR,KO,Basic,5,12.2313223947922,5.804417030170666
SVR,KO,Advanced,1,0.870238534637477,1.1355477651419805
SVR,KO,Advanced,3,1.7043841538490172,1.861255869654495
SVR,KO,Advanced,5,2.2916488274294973,2.0183023807065106
SVR,LNT,Basic,1,3.9933736677127736,3.6236481596987877
SVR,LNT,Basic,3,7.437899771431466,5.13543778846406
SVR,LNT,Basic,5,10.235660669105192,8.749630115254192
SVR,LNT,Advanced,1,0.8508083568403314,0.8867187125308973
SVR,LNT,Advanced,3,1.5913224601352123,1.5314303289717368
SVR,LNT,Advanced,5,2.2474004080835703,1.7716481233467412
SVR,LYB,Basic,1,4.319270710006229,5.170927758689847
SVR,LYB,Basic,3,6.518439067004027,10.58554767749909
SVR,LYB,Basic,5,10.321370374784696,10.81640575143428
SVR,LYB,Advanced,1,1.7453109190716707,2.477787253403023
SVR,LYB,Advanced,3,3.2858642222707335,4.376951788315267
SVR,LYB,Advanced,5,4.665446675775813,6.003296597008652
SVR,MAA,Basic,1,3.1114947953744996,2.3625128785256186
SVR,MAA,Basic,3,5.345997454342073,3.649847400126353
SVR,MAA,Basic,5,8.110240220737113,4.618500093479507
SVR,MAA,Advanced,1,2.267248794962,2.074642534918986
SVR,MAA,Advanced,3,3.766589641319012,3.538325210193506
SVR,MAA,Advanced,5,4.991832626355849,4.463226122329345
SVR,META,Basic,1,84.99753411800607,29.85797643255634
SVR,META,Basic,3,134.33730775877171,51.944246030130365
SVR,META,Basic,5,132.05042180225712,66.84646088523034
SVR,META,Advanced,1,21.55476746102128,20.475629164700162
SVR,META,Advanced,3,43.31737355589296,37.58563854380717
SVR,META,Advanced,5,63.72410973956795,54.50968246308151
SVR,MLM,Basic,1,23.266687958384193,34.5597713463229
SVR,MLM,Basic,3,56.753975027368206,64.23054372501791
SVR,MLM,Basic,5,61.891594286293774,71.31251905766152
SVR,MLM,Advanced,1,11.15497420379912,14.392168001985091
SVR,MLM,Advanced,3,18.971280057983883,23.418724961738796
SVR,MLM,Advanced,5,24.259129197881045,28.91567458417232
SVR,MMM,Basic,1,8.578417050089763,6.6120812139508125
SVR,MMM,Basic,3,14.853367950623047,12.409932777133275
SVR,MMM,Basic,5,24.023067190612885,16.611639077892836
SVR,MMM,Advanced,1,3.5173930572310215,3.3486348196590896
SVR,MMM,Advanced,3,6.696890453447018,5.542665343233335
SVR,MMM,Advanced,5,8.421561533865596,7.144848307153894
SVR,MOS,Basic,1,1.2207450488452936,1.3319527242853648
SVR,MOS,Basic,3,2.072355824014459,4.217909059014629
SVR,MOS,Basic,5,3.0766671675529373,5.65985069740999
SVR,MOS,Advanced,1,0.9210504229512827,0.9991247724261896
SVR,MOS,Advanced,3,1.785317534197848,1.811640106540583
SVR,MOS,Advanced,5,2.2954585319607506,2.3051418709900005
SVR,NFLX,Basic,1,15.817436986555315,5.91113550580929
SVR,NFLX,Basic,3,20.26091143379695,8.238620053498128
SVR,NFLX,Basic,5,26.67853986717052,13.314281486537444
SVR,NFLX,Advanced,1,3.981955061851435,3.3047816767601947
SVR,NFLX,Advanced,3,8.31394471734047,7.425114536617513
SVR,NFLX,Advanced,5,11.30593943247198,9.726628428237085
SVR,NKE,Basic,1,4.633388521833709,5.383698188939509
SVR,NKE,Basic,3,5.31446802555403,8.491727363415574
SVR,NKE,Basic,5,6.519758252206287,10.619593865906582
SVR,NKE,Advanced,1,1.937961099495249,1.5588293482131266
SVR,NKE,Advanced,3,3.4160051161233675,3.3009880974894137
SVR,NKE,Advanced,5,4.439969992182607,5.122811319117631
SVR,NOW,Basic,1,25.25565564764395,16.438835799521357
SVR,NOW,Basic,3,34.145124221322554,21.04985017372804
SVR,NOW,Basic,5,29.908332713281027,27.090614969160356
SVR,NOW,Advanced,1,6.935719953023246,5.010239369540994
SVR,NOW,Advanced,3,13.41852286085486,9.356287948268989
SVR,NOW,Advanced,5,16.24339296896284,11.062592230819227
SVR,OMC,Basic,1,3.225355039977928,4.115147641666297
SVR,OMC,Basic,3,4.126319025255599,7.4031656822724585
SVR,OMC,Basic,5,5.932359316161835,7.341503247653814
SVR,OMC,Advanced,1,1.732077203855835,2.053504747525976
SVR,OMC,Advanced,3,2.9727557429373515,3.631277962041032
SVR,OMC,Advanced,5,3.5973486235484953,4.902608321083101
SVR,PEP,Basic,1,7.615117047238335,4.904254247896964
SVR,PEP,Basic,3,16.611331536103133,9.552101386040523
SVR,PEP,Basic,5,16.060667355813816,8.604333272075584
SVR,PEP,Advanced,1,2.118653170891852,2.46101344795002
SVR,PEP,Advanced,3,4.021714669831337,4.439590247938811
SVR,PEP,Advanced,5,5.215991900003424,5.548712018027354
SVR,PYPL,Basic,1,3.1499609521221537,3.792445420459948
SVR,PYPL,Basic,3,5.031382694607088,8.617081425889754
