ML_Model,Symbol,FeatureSet,Horizon_Days,Validation_RMSE,Test_RMSE
XGBoost,JPM,Advanced,1,4.2943235741103285,4.733553421136207
XGBoost,JPM,Advanced,3,8.178512624352448,7.723555255682471
XGBoost,JPM,Advanced,5,10.262760412747163,9.455422426762958
XGBoost,KIM,Basic,1,0.3280415495113649,0.3044946760643593
XGBoost,KIM,Basic,3,0.5710440949455303,0.6679917352726613
XGBoost,KIM,Basic,5,0.9206479757130679,0.8614417744193424
XGBoost,KIM,Advanced,1,0.29501132073917447,0.280776547317587
XGBoost,KIM,Advanced,3,0.5668564863430657,0.5850909338241586
XGBoost,KIM,Advanced,5,0.8664552578319098,0.7625719336549381
XGBoost,KO,Basic,1,1.0167875819102583,1.025583610826235
XGBoost,KO,Basic,3,1.6100659034570657,1.7702036884227033
XGBoost,KO,Basic,5,2.1903321260767283,2.428210757289196
XGBoost,KO,Advanced,1,0.7901692780672053,0.9707699178545175
XGBoost,KO,Advanced,3,1.4554775884173632,1.6114903576186417
XGBoost,KO,Advanced,5,2.0490850847312316,2.1911650172940758
XGBoost,LNT,Basic,1,0.7956457050385164,0.8103656513878807
XGBoost,LNT,Basic,3,1.5368481313650806,1.5056894476486882
XGBoost,LNT,Basic,5,2.164680154924104,2.2609632828778974
XGBoost,LNT,Advanced,1,0.7136372523747486,0.803790898326333
XGBoost,LNT,Advanced,3,1.4112800651343236,1.3319706704847607
XGBoost,LNT,Advanced,5,1.9685301556954085,1.7004312246032895
XGBoost,LYB,Basic,1,1.477352135742425,2.293364732131517
XGBoost,LYB,Basic,3,2.8081865080437,3.8941516661714055
XGBoost,LYB,Basic,5,3.6939695190419397,4.988561015697312
XGBoost,LYB,Advanced,1,1.480533462034587,2.0778511058132243
XGBoost,LYB,Advanced,3,2.6349215541025552,3.599245861851401
XGBoost,LYB,Advanced,5,3.6641370822981094,5.07565188701429
XGBoost,MAA,Basic,1,1.8933140129315074,1.7017019153003117
XGBoost,MAA,Basic,3,3.591121387277034,2.807228307374346
XGBoost,MAA,Basic,5,4.99747532508503,3.447098172744901
XGBoost,MAA,Advanced,1,1.9013444249752312,1.697230861886598
XGBoost,MAA,Advanced,3,3.216778900838678,2.833208703016434
XGBoost,MAA,Advanced,5,4.30280043308986,3.582387968794367
XGBoost,META,Basic,1,15.623376197289906,17.326662378643558
XGBoost,META,Basic,3,28.536046225510628,29.708392873639138
XGBoost,META,Basic,5,36.08115994349847,37.148945088392864
XGBoost,META,Advanced,1,15.465771625287852,17.31418787852494
XGBoost,META,Advanced,3,27.521957326837338,31.021940817434295
XGBoost,META,Advanced,5,34.591926012426015,39.6533147232553
XGBoost,MLM,Basic,1,8.12931730565606,12.461658737903292
XGBoost,MLM,Basic,3,15.674666447125993,20.50294444187381
XGBoost,MLM,Basic,5,19.42752263130469,25.93913747307576
XGBoost,MLM,Advanced,1,7.97677982796181,12.653627012222943
XGBoost,MLM,Advanced,3,13.75596948885309,20.6932667965359
XGBoost,MLM,Advanced,5,16.9785071327279,26.73103673197955
XGBoost,MMM,Basic,1,3.5872109273706854,2.734382832836038
XGBoost,MMM,Basic,3,6.097408143352867,4.507594892587842
XGBoost,MMM,Basic,5,8.086960793370116,5.961998116538981
XGBoost,MMM,Advanced,1,2.9151036111343664,2.682152187727381
XGBoost,MMM,Advanced,3,5.5031004737135625,4.646443854160858
XGBoost,MMM,Advanced,5,7.547064515280371,5.732758135261618
XGBoost,MOS,Basic,1,0.7079468815521032,0.7953980358269017
XGBoost,MOS,Basic,3,1.2517126745532248,1.4230506451257794
XGBoost,MOS,Basic,5,1.67690121871638,1.71366650481012
XGBoost,MOS,Advanced,1,0.7063846432396055,0.7737367491553345
XGBoost,MOS,Advanced,3,1.282542675002135,1.4092623410110707
XGBoost,MOS,Advanced,5,1.8108847268966966,1.714615342050542
