ML_Model,FeatureSet,Horizon_Days,Symbol,Baseline_RMSE,News_RMSE,News_Answers_RMSE
Elastic Net,Advanced,5,CI,9.631525617806394,9.657908366002047,9.512434074250242
Elastic Net,Advanced,5,CL,2.7821279321120995,2.7792705564076274,2.8594397900724604
Elastic Net,Advanced,5,COO,13.300360810780727,13.62487005815166,13.615341454780257
Elastic Net,Advanced,5,COP,4.9886596014315785,5.250066065189467,5.271053052913854
Elastic Net,Advanced,5,COST,139.6905910331959,140.32622014203704,141.7256716867692
Elastic Net,Advanced,5,CSCO,6.371477958600839,6.373303059899802,6.452021965862215
Elastic Net,Advanced,5,CSGP,4.7895918073292005,4.863808568542636,4.8766577087289695
Elastic Net,Advanced,5,CTAS,19.212275892960978,19.372234402053632,19.681158437926467
Elastic Net,Advanced,5,CTSH,17.32886124492691,17.13987180891631,17.07043020862215
Elastic Net,Advanced,5,CTVA,25.685343764816807,25.726855151420946,25.786758996102574
Elastic Net,Advanced,5,CVS,4.139687343995093,4.260200859238055,4.346090630942069
Elastic Net,Advanced,5,CVX,8.676426042712412,8.540813668216193,8.67623672425948
Elastic Net,Advanced,5,D,15.516793802036846,15.675293924598984,15.729456397569887
Elastic Net,Advanced,5,DASH,54.494933916734816,55.08501343762835,55.68527410752334
Elastic Net,Advanced,5,DG,6.239390076497007,6.223647288120254,6.192470331630543
Elastic Net,Advanced,5,DHR,206.69503660862011,207.33999085527245,206.73727865052743
Elastic Net,Advanced,5,DIS,3.7494829931905254,3.9793784924569753,4.003503143380859
Elastic Net,Advanced,5,DVA,23.453851449152957,23.407667818249454,23.093925517991735
Elastic Net,Advanced,5,DVN,21.591041606149535,21.728073896997852,21.807807706836975
Elastic Net,Advanced,5,DXCM,33.54554084739509,34.130961571489856,34.16490501919099
Elastic Net,Advanced,5,EA,236.3414908316959,236.42359259630462,236.2656787041591
Elastic Net,Advanced,5,ED,10.337808176342323,10.166033441237117,10.360554308091332
Elastic Net,Advanced,5,EOG,7.428694169445319,7.786917434179204,7.855185679571365
Elastic Net,Advanced,5,EW,14.976070280849205,15.372038505708426,15.398759603374387
Elastic Net,Advanced,5,EXE,12.390102557474476,12.189796788347293,12.196160867248315
Elastic Net,Advanced,5,FANG,409.76071869428876,409.9944430830772,410.0154688105378
Elastic Net,Advanced,5,GEHC,5.726916379047317,5.925041047615766,5.911022480201915
Elastic Net,Advanced,5,GILD,13.24459341228164,13.924808068001783,13.97821628881033
Elastic Net,Advanced,5,GIS,2.0767343017908066,2.008755851031972,1.8902582266991967
Elastic Net,Advanced,5,GOOGL,29.630898465369757,30.096120115998907,30.478717085031356
Elastic Net,Advanced,5,GS,34.612927221018076,34.50818223921422,34.42132801906039
Elastic Net,Advanced,5,HPE,6.234693991907902,6.093801439610344,5.985795211488412
