ML_Model,FeatureSet,Horizon_Days,Symbol,Baseline_RMSE,News_RMSE,News_Answers_RMSE
Elastic Net,Advanced,1,NFLX,1.683693038935042,1.6532747778148893,1.639578044903596
Elastic Net,Advanced,1,NKE,0.8516875568378327,0.8561134415528551,0.8531535442952926
Elastic Net,Advanced,1,NOW,5.285292065502551,5.3939229585375355,5.418827135437568
Elastic Net,Advanced,1,OMC,2.434874854908733,2.408012473913536,2.3622842310264054
Elastic Net,Advanced,1,PEP,1.7709950701240962,1.8024465500119102,1.7774364772686913
Elastic Net,Advanced,1,PYPL,1.6372630685625762,1.6322809793744424,1.6355844220741123
Elastic Net,Advanced,1,RL,7.153804554647397,7.223881170446733,7.194414709505809
Elastic Net,Advanced,1,SBUX,1.4272500661469671,1.4356269013842968,1.4362722750810661
Elastic Net,Advanced,1,STLD,5.712785965761211,5.850550504984059,5.8245771599947425
Elastic Net,Advanced,1,SW,1.6686754864174034,1.6738799823982007,1.6684514841354072
Elastic Net,Advanced,1,T,0.4211713416621985,0.43308219680192067,0.4328173756975574
Elastic Net,Advanced,1,TGT,2.994305768758192,3.0519638415447425,3.1109752640356914
Elastic Net,Advanced,1,TPR,27.172956441257917,27.00541840986539,26.99307828888007
Elastic Net,Advanced,1,TSLA,124.58610644680023,124.82561854635263,124.86194796261813
Elastic Net,Advanced,1,TTWO,5.514885065620009,5.3395962057157575,5.38495519923956
Elastic Net,Advanced,1,V,6.566031637611727,6.928805615799994,6.9134959865647065
Elastic Net,Advanced,1,VMC,5.463460035295259,5.407121202956525,5.405318666538817
Elastic Net,Advanced,1,VST,4.532690044634247,4.5467132546599895,4.671299079129422
Elastic Net,Advanced,1,VTR,7.298638362461619,7.175374490911269,7.183246733178817
Elastic Net,Advanced,1,WBD,0.3469736729892365,0.35840021733876476,0.3572707367207234
Elastic Net,Advanced,1,WDAY,9.45625162413057,9.409760197690625,9.450016938337962
Elastic Net,Advanced,1,WDC,29.8232596676256,29.188425839365554,29.131568441509156
Elastic Net,Advanced,1,WEC,1.227257657463798,1.2905873930526046,1.279007701158145
Elastic Net,Advanced,1,WELL,3.3971571674760197,3.2915092135556203,3.286211157796582
Elastic Net,Advanced,1,WFC,1.0594233192676967,1.1170199518838941,1.1300535552830693
Elastic Net,Advanced,1,WMB,1.3347747919189759,1.3615432370732146,1.3573717607204607
Elastic Net,Advanced,1,WMT,1.4733016627289584,1.4350502281796467,1.4138591785726788
Elastic Net,Advanced,1,WY,1.9089140302413226,1.9065084751410282,1.9163995033445125
Elastic Net,Advanced,1,XEL,0.8372549577483048,0.896590473223137,0.9051358343752938
Elastic Net,Advanced,1,XYL,2.2647296135639,2.1971497937435953,2.209301582969099
Elastic Net,Advanced,3,AAPL,29.4415786934294,29.3477570820009,29.446389011058095
Elastic Net,Advanced,3,ABNB,33.75173930897041,34.384486252540924,34.519877638469005
Elastic Net,Advanced,3,ACN,12.069979323734938,12.143940069651551,12.13394949005803
Elastic Net,Advanced,3,ADBE,15.242891173986683,15.102931501223678,15.031849123509094
Elastic Net,Advanced,3,AEP,29.10757025324153,29.12430574754003,29.12318348932329
Elastic Net,Advanced,3,AES,2.16649125500158,2.158870257319073,2.1601439959185313
Elastic Net,Advanced,3,AFL,5.781761755036939,5.806417049645488,5.83222727648959
Elastic Net,Advanced,3,AIG,2.240788344641672,2.2327235701834254,2.258383345018543
Elastic Net,Advanced,3,AMZN,14.140044085673063,14.154430808961,14.123425246962054
Elastic Net,Advanced,3,AOS,2.0813099611733517,2.1065504117232026,2.0852137715153365
Elastic Net,Advanced,3,APA,4.227595902266081,4.17650251114512,4.172638652411747
Elastic Net,Advanced,3,APD,6.716511729348736,7.312719967178159,7.384782993193006
Elastic Net,Advanced,3,APO,6.346856581640132,6.425087127477537,6.431135884896832
Elastic Net,Advanced,3,AXP,8.736394610343394,8.927544449207078,8.9389232042616
Elastic Net,Advanced,3,BA,89.39116418589133,88.93032969199353,88.85667586379172
Elastic Net,Advanced,3,BKNG,9.644642430038099,9.780448620090336,9.776456888618943
Elastic Net,Advanced,3,BKR,2.4787691066811695,2.709014348832379,2.7022329983664606
Elastic Net,Advanced,3,BR,17.198248805800777,17.503670222107854,17.524271765852305
Elastic Net,Advanced,3,CARR,2.97313750333159,3.0452165693090847,3.0980124545077774
Elastic Net,Advanced,3,CASY,35.14872924216304,34.89657769327169,34.843035859985754
Elastic Net,Advanced,3,CAT,178.58739026792904,176.64431529979967,175.7899991331996
Elastic Net,Advanced,3,CBRE,24.164372252994834,23.699353648554663,23.69463197281761
Elastic Net,Advanced,3,CEG,687.148482796723,687.8512179031309,687.8634822483581
